sentence_id,token,tag
13,and,O
13,Scrum,B-SKILL
13,Framework,I-SKILL
13,.,O
14,Skilled,O
14,in,O
14,Python,B-SKILL
14,Programming,I-SKILL
14,and,O
14,TensorFlow,B-SKILL
14,projects,I-SKILL
14,.,O
15,Proficient,O
15,in,O
15,Blockchain,B-SKILL
15,Development,I-SKILL
15,and,O
15,Smart,B-SKILL
15,Contracts,I-SKILL
15,.,O
16,Experienced,O
16,with,O
16,Natural,B-SKILL
16,Language,I-SKILL
16,Processing,I-SKILL
16,and,O
16,Deep,B-SKILL
16,Learning,I-SKILL
16,.,O
17,Knowledgeable,O
17,in,O
17,Computer,B-SKILL
17,Vision,I-SKILL
17,and,O
17,Cloud,B-SKILL
17,Computing,I-SKILL
17,.,O
18,Skilled,O
18,in,O
18,MySQL,B-TOOL
18,Database,I-TOOL
18,Management,I-TOOL
18,and,O
18,PostgreSQL,B-TOOL
18,.,O
19,Proficient,O
19,in,O
19,iOS,B-SKILL
19,Development,I-SKILL
19,and,O
19,Android,I-SKILL
19,Studio,I-SKILL
19,.,O
20,Experienced,O
20,with,O
20,CI/CD,B-SKILL
20,Pipelines,I-SKILL
20,and,O
20,Git,B-SKILL
20,Version,I-SKILL
20,Control,I-SKILL
20,.,O
21,Familiar,O
21,with,O
21,React.js,B-SKILL
21,Development,I-SKILL
21,and,O
21,Node.js,I-SKILL
21,framework,I-SKILL
21,.,O
22,Skilled,O
22,in,O
22,Data,B-SKILL
22,Visualization,I-SKILL
22,using,O
22,Tableau,B-TOOL
22,and,O
22,Power,B-TOOL
22,BI,I-TOOL
22,.,O
23,Proficient,O
23,in,O
23,Microservices,B-SKILL
23,Architecture,I-SKILL
23,and,O
23,REST,B-SKILL
23,APIs,I-SKILL
23,.,O
24,Experienced,O
24,with,O
24,Apache,B-TOOL
24,Kafka,I-TOOL
24,and,O
24,Airflow,B-TOOL
24,for,O
24,Data,B-SKILL
24,Pipelines,I-SKILL
24,.,O
25,Knowledgeable,O
25,in,O
25,MongoDB,B-TOOL
25,and,O
25,Elasticsearch,B-TOOL
25,for,O
25,Data,B-SKILL
25,Management,I-SKILL
25,.,O
26,Skilled,O
26,in,O
26,Adobe,B-TOOL
26,XD,I-TOOL
26,and,O
26,Figma,B-TOOL
26,for,O
26,UX,B-SKILL
26,Design,I-SKILL
26,.,O
27,Proficient,O
27,in,O
27,Java,B-SKILL
27,Programming,I-SKILL
27,and,O
27,Spring,B-SKILL
27,Boot,I-SKILL
27,.,O
28,Experienced,O
28,with,O
28,Network,B-SKILL
28,Security,I-SKILL
28,and,O
28,Firewall,B-TOOL
28,Configuration,I-TOOL
28,.,O
29,Familiar,O
29,with,O
29,Google,B-TOOL
29,Cloud,I-TOOL
29,Platform,I-TOOL
29,and,O
29,Firebase,B-TOOL
29,Services,I-TOOL
29,.,O
30,Skilled,O
30,in,O
30,Unit,B-SKILL
30,Testing,I-SKILL
30,and,O
30,Software,B-SKILL
30,Development,I-SKILL
30,.,O
31,Proficient,O
31,in,O
31,Jenkins,B-TOOL
31,and,O
31,Travis,B-TOOL
31,CI,I-TOOL
31,for,O
31,Continuous,B-SKILL
31,Integration,I-SKILL
31,.,O
32,Experienced,O
32,with,O
32,Terraform,B-TOOL
32,and,O
32,Ansible,B-TOOL
32,for,O
32,Infrastructure,B-SKILL
32,as,I-SKILL
32,Code,I-SKILL
32,.,O
33,Knowledgeable,O
33,in,O
33,MATLAB,B-TOOL
33,and,O
33,RStudio,B-TOOL
33,for,O
33,Statistical,B-SKILL
33,Analysis,I-SKILL
33,.,O
34,Skilled,O
34,in,O
34,Oracle,B-TOOL
34,Database,I-TOOL
34,Administration,I-TOOL
34,and,O
34,Redshift,B-TOOL
34,Management,I-TOOL
34,.,O
35,Proficient,O
35,in,O
35,Confluence,B-TOOL
35,and,O
35,Jira,B-TOOL
35,for,O
35,Project,B-SKILL
35,Management,I-SKILL
35,.,O
36,Experienced,O
36,with,O
36,Looker,B-TOOL
36,and,O
36,QlikView,B-TOOL
36,for,O
36,Data,B-SKILL
36,Visualization,I-SKILL
36,.,O
37,Familiar,O
37,with,O
37,NGINX,B-TOOL
37,and,O
37,Apache,B-TOOL
37,HTTP,I-TOOL
37,Server,I-TOOL
37,Configuration,I-TOOL
37,.,O
38,Skilled,O
38,in,O
38,Snowflake,B-TOOL
38,and,O
38,BigQuery,B-TOOL
38,for,O
38,Data,B-SKILL
38,Analytics,I-SKILL
38,.,O
39,Proficient,O
39,in,O
39,Flutter,B-SKILL
39,and,O
39,Dart,B-SKILL
39,for,O
39,Mobile,B-SKILL
39,App,I-SKILL
39,Development,I-SKILL
39,.,O
40,Experienced,O
40,with,O
40,Kubernetes,B-SKILL
40,Management,I-SKILL
40,and,O
40,Docker,B-TOOL
40,Containers,I-TOOL
40,.,O
41,Knowledgeable,O
41,in,O
41,AWS,B-SKILL
41,Cloud/I-SKILLFormation,I-SKILL
41,and,O
41,Microsoft,B-SKILL
41,Azure,I-SKILL
41,Services,I-SKILL
41,.,O
42,Skilled,O
42,in,O
42,GitLab,B-TOOL
42,and,O
42,Bitbucket,B-TOOL
42,for,O
42,Version,B-SKILL
42,Control,I-SKILL
42,.,O
43,Proficient,O
43,in,O
43,IntelliJ,B-TOOL
43,IDEA,I-TOOL
43,and,O
43,PyCharm,B-TOOL
43,for,O
43,Python,B-SKILL
43,Development,I-SKILL
43,.,O
44,Experienced,O
44,with,O
44,Apache,B-TOOL
44,HTTP,I-TOOL
44,Server,I-TOOL
44,and,O
44,NGINX,B-TOOL
44,Configuration,I-TOOL
44,.,O
45,Familiar,O
45,with,O
45,Swagger,B-TOOL
45,and,O
45,Postman,B-TOOL
45,for,O
45,API,B-SKILL
45,Development,I-SKILL
45,.,O
46,Skilled,O
46,in,O
46,Chef,B-TOOL
46,and,O
46,Puppet,B-TOOL
46,for,O
46,Configuration,B-SKILL
46,Management,I-SKILL
46,.,O
47,Proficient,O
47,in,O
47,Visual,B-TOOL
47,Studio,I-TOOL
47,Code,I-TOOL
47,and,O
47,Eclipse,B-TOOL
47,IDE,I-TOOL
47,.,O
48,Experienced,O
48,with,O
48,Slack,B-TOOL
48,and,O
48,Trello,B-TOOL
48,for,O
48,Team,B-SKILL
48,Collaboration,I-SKILL
48,.,O
49,Knowledgeable,O
49,in,O
49,ElasticSearch,B-TOOL
49,and,O
49,MongoDB,B-TOOL
49,for,O
49,Data,B-SKILL
49,Indexing,I-SKILL
49,.,O
50,Skilled,O
50,in,O
50,Apache,B-TOOL
50,Kafka,I-TOOL
50,and,O
50,Redis,B-TOOL
50,for,O
50,Real-time,B-SKILL
50,Data,I-SKILL
50,Processing,I-SKILL
50,.,O
51,Provided,O
51,exceptional,O
51,patient,B-SKILL
51,care,I-SKILL
51,during,O
51,a,O
51,critical,O
51,emergency,O
51,situation,O
51,.,O
52,Utilized,O
52,advanced,O
52,radiology,B-SKILL
52,procedures,I-SKILL
52,to,O
52,diagnose,O
52,complex,O
52,medical,O
52,conditions,O
52,.,O
53,Demonstrated,O
53,expertise,O
53,in,O
53,wound,B-SKILL
53,care,I-SKILL
53,and,O
53,infection,B-SKILL
53,control,I-SKILL
53,techniques,O
53,.,O
54,Managed,O
54,electronic,B-SKILL
54,health,I-SKILL
54,records,I-SKILL
54,efficiently,O
54,for,O
54,a,O
54,large,O
54,healthcare,O
54,facility,O
54,.,O
55,Implemented,O
55,telemedicine,B-SKILL
55,platforms,I-SKILL
55,to,O
55,improve,O
55,access,O
55,to,O
55,specialized,O
55,healthcare,O
55,services,O
55,.,O
56,Conducted,O
56,detailed,O
56,laboratory,B-SKILL
56,testing,I-SKILL
56,to,O
56,support,O
56,clinical,O
56,research,O
56,findings,O
56,.,O
57,Collaborated,O
57,with,O
57,oncology,B-SKILL
57,specialists,I-SKILL
57,to,O
57,develop,O
57,personalized,O
57,cancer,O
57,treatment,O
57,plans,O
57,.,O
58,Assisted,O
58,in,O
58,surgical,B-SKILL
58,procedures,I-SKILL
58,by,O
58,adhering,O
58,to,O
58,strict,O
58,operating,O
58,room,O
58,protocols,O
58,.,O
59,Provided,O
59,comprehensive,O
59,mental,B-SKILL
59,health,I-SKILL
59,counseling,I-SKILL
59,for,O
59,patients,O
59,in,O
59,need,O
59,of,O
59,support,O
59,.,O
60,Ensured,O
60,patient,B-SKILL
60,safety,I-SKILL
60,by,O
60,monitoring,O
60,vital,B-SKILL
60,signs,I-SKILL
60,and,O
60,responding,O
60,promptly,O
60,to,O
60,changes,O
60,.,O
61,Facilitated,O
61,obstetrics,B-SKILL
61,and,O
61,gynecology,B-SKILL
61,examinations,I-SKILL
61,by,O
61,preparing,O
61,patients,O
61,for,O
61,procedures,O
61,.,O
62,Administered,O
62,IV,B-SKILL
62,therapy,I-SKILL
62,with,O
62,precision,O
62,and,O
62,adherence,O
62,to,O
62,medication,O
62,administration,I-SKILL
62,guidelines,O
62,.,O
63,Conducted,O
63,rehabilitation,B-SKILL
63,techniques,I-SKILL
63,to,O
63,improve,O
63,patient,O
63,mobility,O
63,and,O
63,quality,O
63,of,O
63,life,O
63,.,O
64,Educated,O
64,patients,O
64,on,O
64,proper,O
64,nutrition,B-SKILL
64,and,O
64,diet,O
64,plans,O
64,to,O
64,manage,O
64,chronic,O
64,diseases,O
64,effectively,O
64,.,O
65,Managed,O
65,a,O
65,pediatric,B-SKILL
65,care,I-SKILL
65,unit,O
65,by,O
65,overseeing,O
65,nursing,B-SKILL
65,procedures,I-SKILL
65,and,O
65,treatment,O
65,protocols,O
65,.,O
66,Implemented,O
66,healthcare,B-SKILL
66,data,I-SKILL
66,analysis,I-SKILL
66,tools,O
66,to,O
66,evaluate,O
66,trends,O
66,and,O
66,improve,O
66,patient,O
66,outcomes,O
66,.,O
67,Conducted,O
67,comprehensive,O
67,psychiatric,B-SKILL
67,assessments,I-SKILL
67,to,O
67,develop,O
67,personalized,O
67,treatment,O
67,plans,O
67,for,O
67,patients,O
67,.,O
68,Collaborated,O
68,with,O
68,physical,B-SKILL
68,therapists,I-SKILL
68,to,O
68,design,O
68,tailored,O
68,rehabilitation,O
68,programs,O
68,for,O
68,patients,O
68,.,O
69,Utilized,O
69,advanced,O
69,surgical,B-SKILL
69,techniques,I-SKILL
69,to,O
69,assist,O
69,in,O
69,complex,O
69,medical,O
69,procedures,O
69,.,O
70,Monitored,O
70,and,O
70,maintained,O
70,healthcare,B-SKILL
70,equipment,I-SKILL
70,such,O
70,as,O
70,MRI,B-SKILL
70,scanners,I-SKILL
70,and,O
70,defibrillators,O
70,.,O
71,Provided,O
71,expert,O
71,care,O
71,in,O
71,geriatric,B-SKILL
71,medicine,I-SKILL
71,by,O
71,addressing,O
71,complex,O
71,health,O
71,issues,O
71,in,O
71,elderly,O
71,patients,O
71,.,O
72,Managed,O
72,electronic,B-SKILL
72,health,I-SKILL
72,records,I-SKILL
72,and,O
72,ensured,O
72,HIPAA,B-SKILL
72,compliance,I-SKILL
72,for,O
72,patient,O
72,data,O
72,security,O
72,.,O
73,Participated,O
73,in,O
73,clinical,B-SKILL
73,research,I-SKILL
73,studies,O
73,to,O
73,contribute,O
73,valuable,O
73,insights,O
73,to,O
73,the,O
73,healthcare,O
73,community,O
73,.,O
74,Administered,O
74,chemotherapy,O
74,and,O
74,oncology,B-SKILL
74,treatments,I-SKILL
74,with,O
74,compassion,O
74,and,O
74,attention,O
74,to,O
74,patient,O
74,well-being,O
74,.,O
75,Conducted,O
75,thorough,O
75,diagnostic,B-SKILL
75,imaging,I-SKILL
75,tests,O
75,to,O
75,aid,O
75,in,O
75,the,O
75,proper,O
75,diagnosis,O
75,of,O
75,medical,O
75,conditions,O
75,.,O
76,Utilized,O
76,advanced,O
76,pharmacology,B-SKILL
76,knowledge,I-SKILL
76,to,O
76,recommend,O
76,appropriate,O
76,medications,O
76,for,O
76,patient,O
76,treatment,O
76,.,O
77,Provided,O
77,quality,O
77,health,B-SKILL
77,education,I-SKILL
77,to,O
77,patients,O
77,on,O
77,chronic,O
77,disease,O
77,management,I-SKILL
77,and,O
77,prevention,O
77,strategies,O
77,.,O
78,Collaborated,O
78,with,O
78,interdisciplinary,O
78,teams,O
78,to,O
78,implement,O
78,evidence-based,O
78,practice,O
78,in,O
78,healthcare,O
78,delivery,O
78,systems,O
78,.,O
79,Assisted,O
79,in,O
79,emergency,B-SKILL
79,response,I-SKILL
79,situations,O
79,by,O
79,providing,O
79,immediate,O
79,medical,O
79,care,O
79,and,O
79,support,O
79,.,O
80,Managed,O
80,a,O
80,telemedicine,B-SKILL
80,program,I-SKILL
80,to,O
80,expand,O
80,access,O
80,to,O
80,healthcare,O
80,services,O
80,in,O
80,remote,O
80,areas,O
80,.,O
81,Ensured,O
81,compliance,O
81,with,O
81,infection,B-SKILL
81,control,I-SKILL
81,protocols,O
81,to,O
81,maintain,O
81,a,O
81,safe,O
81,healthcare,O
81,environment,O
81,.,O
82,Conducted,O
82,intensive,O
82,physical,B-SKILL
82,therapy,I-SKILL
82,sessions,O
82,to,O
82,aid,O
82,in,O
82,patient,O
82,recovery,O
82,and,O
82,rehabilitation,O
82,.,O
83,Collaborated,O
83,with,O
83,healthcare,B-SKILL
83,management,I-SKILL
83,to,O
83,develop,O
83,and,O
83,implement,O
83,patient,O
83,safety,I-SKILL
83,initiatives,O
83,.,O
84,Administered,O
84,medications,O
84,and,O
84,monitored,O
84,patients,O
84,during,O
84,clinical,B-SKILL
84,trials,I-SKILL
84,to,O
84,assess,O
84,treatment,O
84,efficacy,O
84,.,O
85,Provided,O
85,expert,O
85,nursing,B-SKILL
85,care,I-SKILL
85,in,O
85,a,O
85,busy,O
85,surgical,B-SKILL
85,unit,I-SKILL
85,with,O
85,a,O
85,focus,O
85,on,O
85,patient,O
85,outcomes,O
85,.,O
86,Managed,O
86,healthcare,B-SKILL
86,data,I-SKILL
86,analytics,I-SKILL
86,tools,O
86,to,O
86,identify,O
86,trends,O
86,and,O
86,improve,O
86,operational,O
86,efficiencies,O
86,.,O
87,Conducted,O
87,quality,O
87,assurance,O
87,checks,O
87,on,O
87,healthcare,B-SKILL
87,equipment,I-SKILL
87,to,O
87,ensure,O
87,accurate,O
87,diagnostic,O
87,results,O
87,.,O
88,Educated,O
88,patients,O
88,on,O
88,the,O
88,importance,O
88,of,O
88,chronic,O
88,disease,O
88,management,I-SKILL
88,and,O
88,regular,O
88,health,O
88,screenings,O
88,.,O
89,Collaborated,O
89,with,O
89,healthcare,B-SKILL
89,policy,I-SKILL
89,experts,O
89,to,O
89,develop,O
89,and,O
89,implement,O
89,strategies,O
89,for,O
89,improved,O
89,patient,O
89,care,O
89,.,O
90,Coordinated,O
90,infection,B-SKILL
90,control,I-SKILL
90,efforts,O
90,across,O
90,multiple,O
90,departments,O
90,to,O
90,prevent,O
90,healthcare,O
90,associated,O
90,infections,O
90,.,O
91,Managed,O
91,surgical,B-SKILL
91,assistance,I-SKILL
91,duties,O
91,in,O
91,a,O
91,fast-paced,O
91,operating,B-SKILL
91,room,I-SKILL
91,environment,O
91,with,O
91,precision,O
91,.,O
92,Utilized,O
92,healthcare,B-SKILL
92,informatics,I-SKILL
92,tools,O
92,to,O
92,analyze,O
92,patient,O
92,data,O
92,and,O
92,improve,O
92,healthcare,O
92,delivery,O
92,systems,O
92,.,O
93,Assisted,O
93,in,O
93,the,O
93,development,O
93,of,O
93,new,O
93,healthcare,B-SKILL
93,policies,I-SKILL
93,to,O
93,enhance,O
93,patient,O
93,safety,O
93,and,O
93,care,O
93,quality,O
93,.,O
94,Conducted,O
94,thorough,O
94,epidemiological,B-SKILL
94,studies,I-SKILL
94,to,O
94,track,O
94,and,O
94,prevent,O
94,the,O
94,spread,O
94,of,O
94,infectious,O
94,diseases,O
94,.,O
95,Collaborated,O
95,with,O
95,healthcare,B-SKILL
95,professionals,I-SKILL
95,to,O
95,conduct,O
95,clinical,B-SKILL
95,trials,I-SKILL
95,and,O
95,research,O
95,studies,O
95,.,O
96,Administered,O
96,public,B-SKILL
96,health,I-SKILL
96,promotion,I-SKILL
96,campaigns,O
96,to,O
96,raise,O
96,awareness,O
96,about,O
96,preventive,O
96,healthcare,O
96,measures,O
96,.,O
97,Provided,O
97,compassionate,O
97,care,O
97,for,O
97,pediatric,B-SKILL
97,patients,I-SKILL
97,undergoing,O
97,oncology,B-SKILL
97,treatments,I-SKILL
97,and,O
97,procedures,O
97,.,O
98,Assisted,O
98,in,O
98,obstetrics,B-SKILL
98,and,O
98,gynecology,B-SKILL
98,procedures,I-SKILL
98,by,O
98,providing,O
98,support,O
98,to,O
98,medical,O
98,staff,O
98,and,O
98,patients,O
98,.,O
99,Managed,O
99,healthcare,B-SKILL
99,data,I-SKILL
99,security,O
99,protocols,O
99,to,O
99,ensure,O
99,patient,O
99,confidentiality,O
99,and,O
99,data,O
99,integrity,O
99,.,O
100,Implemented,O
100,advanced,O
100,nursing,B-SKILL
100,procedures,I-SKILL
100,to,O
100,provide,O
100,optimal,O
100,patient,O
100,care,O
100,and,O
100,promote,O
100,positive,O
100,outcomes,O
100,.,O
101,Proficient,O
101,in,O
101,Financial,B-SKILL
101,Analysis,I-SKILL
101,and,O
101,Risk,B-SKILL
101,Management,I-SKILL
101,using,O
101,Excel,B-TOOL
101,.,O
102,Skilled,O
102,in,O
102,Equity,B-SKILL
102,Trading,I-SKILL
102,and,O
102,Portfolio,B-SKILL
102,Management,I-SKILL
102,with,O
102,Bloomberg,B-TOOL
102,Terminal,I-TOOL
102,.,O
103,Experienced,O
103,in,O
103,Fixed,B-SKILL
103,Income,I-SKILL
103,Analysis,I-SKILL
103,and,O
103,Derivatives,B-SKILL
103,Pricing,I-SKILL
103,utilizing,O
103,MATLAB,B-TOOL
103,.,O
104,Knowledgeable,O
104,in,O
104,Credit,B-SKILL
104,Risk,I-SKILL
104,Assessment,I-SKILL
104,and,O
104,Operational,B-SKILL
104,Risk,I-SKILL
104,Management,I-SKILL
104,with,O
104,SAS,B-TOOL
104,Financial,I-TOOL
104,Management,I-TOOL
104,.,O
105,Familiar,O
105,with,O
105,Treasury,B-SKILL
105,Operations,I-SKILL
105,and,O
105,Cash,B-SKILL
105,Flow,I-SKILL
105,Analysis,I-SKILL
105,using,O
105,Hyperion,B-TOOL
105,Financial,I-TOOL
105,Management,I-TOOL
105,.,O
106,Proficiency,O
106,in,O
106,Investment,B-SKILL
106,Banking,I-SKILL
106,and,O
106,Financial,B-SKILL
106,Engineering,I-SKILL
106,with,O
106,Python,B-TOOL
106,for,O
106,Finance,I-TOOL
106,.,O
107,Skilled,O
107,in,O
107,Audit,B-SKILL
107,and,O
107,Assurance,B-SKILL
107,services,I-SKILL
107,with,O
107,QuickBooks,B-TOOL
107,and,O
107,Excel,B-TOOL
107,.,O
108,Experienced,O
108,in,O
108,Regulatory,B-SKILL
108,Compliance,I-SKILL
108,and,O
108,Anti-Money,B-SKILL
108,Laundering,I-SKILL
108,utilizing,O
108,Thomson,B-TOOL
108,Reuters,I-TOOL
108,Eikon,I-TOOL
108,.,O
109,Knowledge,O
109,of,O
109,Financial,B-SKILL
109,Statement,I-SKILL
109,Analysis,I-SKILL
109,and,O
109,Ratio,B-SKILL
109,Analysis,I-SKILL
109,using,O
109,Tableau,B-TOOL
109,and,O
109,Excel,B-TOOL
109,.,O
110,Proficient,O
110,in,O
110,Wealth,B-SKILL
110,Management,I-SKILL
110,and,O
110,Estate,B-SKILL
110,Planning,I-SKILL
110,with,O
110,SAP,B-TOOL
110,ERP,I-TOOL
110,.,O
111,Experienced,O
111,in,O
111,IFRS,B-SKILL
111,Standards,I-SKILL
111,and,O
111,GAAP,B-SKILL
111,Accounting,I-SKILL
111,using,O
111,Moodyâ€™s,B-TOOL
111,Analytics,I-TOOL
111,.,O
112,Familiar,O
112,with,O
112,Budget,B-SKILL
112,Forecasting,I-SKILL
112,and,O
112,Financial,B-SKILL
112,Reporting,I-SKILL
112,with,O
112,Power,B-TOOL
112,BI,I-TOOL
112,.,O
113,Proficiency,O
113,in,O
113,Capital,B-SKILL
113,Structure,I-SKILL
113,Optimization,I-SKILL
113,and,O
113,Market,B-SKILL
113,Risk,I-SKILL
113,Assessment,I-SKILL
113,using,O
113,FactSet,B-TOOL
113,.,O
114,Skilled,O
114,in,O
114,Tax,B-SKILL
114,Planning,I-SKILL
114,and,O
114,Audit,B-SKILL
114,services,I-SKILL
114,with,O
114,BlackRock,B-TOOL
114,Aladdin,I-TOOL
114,.,O
115,Experienced,O
115,in,O
115,Mergers,B-SKILL
115,and,O
115,Acquisitions,B-SKILL
115,Analysis,I-SKILL
115,utilizing,O
115,Morningstar,B-TOOL
115,Direct,I-TOOL
115,.,O
116,Knowledge,O
116,of,O
116,Derivatives,B-SKILL
116,Trading,I-SKILL
116,and,O
116,Hedging,B-SKILL
116,Strategies,I-SKILL
116,with,O
116,IBM,B-TOOL
116,Cognos,I-TOOL
116,Analytics,I-TOOL
116,.,O
117,Proficient,O
117,in,O
117,Corporate,B-SKILL
117,Finance,I-SKILL
117,and,O
117,Portfolio,B-SKILL
117,Optimization,I-SKILL
117,using,O
117,MarketAxess,B-TOOL
117,.,O
118,Skilled,O
118,in,O
118,Time,B-SKILL
118,Series,I-SKILL
118,Analysis,I-SKILL
118,and,O
118,Quantitative,B-SKILL
118,Finance,I-SKILL
118,with,O
118,Tradeweb,B-TOOL
118,.,O
119,Experienced,O
119,in,O
119,Venture,B-SKILL
119,Capital,I-SKILL
119,Analysis,I-SKILL
119,and,O
119,Financial,B-SKILL
119,Modeling,I-SKILL
119,in,O
119,Excel,B-TOOL
119,.,O
120,Familiar,O
120,with,O
120,Leveraged,B-SKILL
120,Buyouts,I-SKILL
120,and,O
120,Portfolio,B-SKILL
120,Management,I-SKILL
120,using,O
120,Charles,B-TOOL
120,River,I-TOOL
120,IMS,I-TOOL
120,.,O
121,Proficiency,O
121,in,O
121,Treasury,B-SKILL
121,Management,I-SKILL
121,and,O
121,Financial,B-SKILL
121,Planning,I-SKILL
121,with,O
121,Anaplan,B-TOOL
121,.,O
122,Skilled,O
122,in,O
122,Foreign,B-SKILL
122,Exchange,I-SKILL
122,Trading,I-SKILL
122,and,O
122,Budget,B-SKILL
122,Forecasting,I-SKILL
122,using,O
122,QlikView,B-TOOL
122,.,O
123,Knowledgeable,O
123,in,O
123,Cost,B-SKILL
123,Accounting,I-SKILL
123,and,O
123,Cash,B-SKILL
123,Flow,I-SKILL
123,Analysis,I-SKILL
123,with,O
123,MetaTrader,B-TOOL
123,5,I-TOOL
123,.,O
124,Familiar,O
124,with,O
124,Private,B-SKILL
124,Equity,I-SKILL
124,Analysis,I-SKILL
124,and,O
124,Forecasting,B-SKILL
124,using,O
124,Crystal,B-TOOL
124,Reports,I-TOOL
124,.,O
125,Experienced,O
125,in,O
125,Regulatory,B-SKILL
125,Compliance,I-SKILL
125,and,O
125,Market,B-SKILL
125,Research,I-SKILL
125,with,O
125,FIS,B-TOOL
125,Global,I-TOOL
125,.,O
126,Knowledge,O
126,of,O
126,Asset,B-SKILL
126,Allocation,I-SKILL
126,and,O
126,Wealth,B-SKILL
126,Management,I-SKILL
126,using,O
126,RiskMetrics,B-TOOL
126,.,O
127,Proficient,O
127,in,O
127,Retirement,B-SKILL
127,Planning,I-SKILL
127,and,O
127,Tax,B-SKILL
127,Advisory,I-SKILL
127,with,O
127,Interactive,B-TOOL
127,Brokers,I-TOOL
127,TWS,I-TOOL
127,.,O
128,Skilled,O
128,in,O
128,Hedge,B-SKILL
128,Fund,I-SKILL
128,Strategies,I-SKILL
128,and,O
128,Financial,B-SKILL
128,Modeling,I-SKILL
128,with,O
128,Algo,B-TOOL
128,Trading,I-TOOL
128,Platforms,I-TOOL
128,.,O
129,Experienced,O
129,in,O
129,Working,B-SKILL
129,Capital,I-SKILL
129,Management,I-SKILL
129,and,O
129,Capital,B-SKILL
129,Budgeting,I-SKILL
129,using,O
129,Value-at-Risk,B-TOOL
129,Models,I-TOOL
129,.,O
130,Familiar,O
130,with,O
130,Derivatives,B-SKILL
130,Pricing,I-SKILL
130,and,O
130,Monte,B-SKILL
130,Carlo,I-SKILL
130,Simulation,I-SKILL
130,Tools,I-SKILL
130,with,O
130,QlikView,B-TOOL
130,.,O
131,Proficiency,O
131,in,O
131,Portfolio,B-SKILL
131,Management,I-SKILL
131,and,O
131,Financial,B-SKILL
131,Engineering,I-SKILL
131,with,O
131,IBM,B-TOOL
131,Cognos,I-TOOL
131,Analytics,I-TOOL
131,.,O
132,Skilled,O
132,in,O
132,Financial,B-SKILL
132,Analysis,I-SKILL
132,and,O
132,Regulatory,B-SKILL
132,Reporting,I-SKILL
132,with,O
132,Moodyâ€™s,B-TOOL
132,Analytics,I-TOOL
132,.,O
133,Knowledge,O
133,of,O
133,Quantitative,B-SKILL
133,Finance,I-SKILL
133,and,O
133,Financial,B-SKILL
133,Planning,I-SKILL
133,using,O
133,Stata,B-TOOL
133,.,O
134,Familiar,O
134,with,O
134,Credit,B-SKILL
134,Analysis,I-SKILL
134,and,O
134,Market,B-SKILL
134,Risk,I-SKILL
134,Assessment,I-SKILL
134,with,O
134,RiskMetrics,B-TOOL
134,.,O
135,Experienced,O
135,in,O
135,Budget,B-SKILL
135,Forecasting,I-SKILL
135,and,O
135,Financial,B-SKILL
135,Engineering,I-SKILL
135,with,O
135,Thomson,B-TOOL
135,Reuters,I-TOOL
135,Eikon,I-TOOL
135,.,O
136,Knowledgeable,O
136,in,O
136,Estate,B-SKILL
136,Planning,I-SKILL
136,and,O
136,Financial,B-SKILL
136,Modeling,I-SKILL
136,using,O
