sentence_id,labeled_tokens
17,Knowledgeable/O in/O Computer/B-SKILL Vision/I-SKILL and/O Cloud/B-SKILL Computing/I-SKILL ./O
18,Skilled/O in/O MySQL/B-TOOL Database/I-TOOL Management/I-TOOL and/O PostgreSQL/B-TOOL ./O
19,Proficient/O in/O iOS/B-SKILL Development/I-SKILL and/O Android/I-SKILL Studio/I-SKILL ./O
20,Experienced/O with/O CI/CD/B-SKILL Pipelines/I-SKILL and/O Git/B-SKILL Version/I-SKILL Control/I-SKILL ./O
21,Familiar/O with/O React.js/B-SKILL Development/I-SKILL and/O Node.js/I-SKILL framework/I-SKILL ./O
22,Skilled/O in/O Data/B-SKILL Visualization/I-SKILL using/O Tableau/B-TOOL and/O Power/B-TOOL BI/I-TOOL ./O
23,Proficient/O in/O Microservices/B-SKILL Architecture/I-SKILL and/O REST/B-SKILL APIs/I-SKILL ./O
24,Experienced/O with/O Apache/B-TOOL Kafka/I-TOOL and/O Airflow/B-TOOL for/O Data/B-SKILL Pipelines/I-SKILL ./O
25,Knowledgeable/O in/O MongoDB/B-TOOL and/O Elasticsearch/B-TOOL for/O Data/B-SKILL Management/I-SKILL ./O
26,Skilled/O in/O Adobe/B-TOOL XD/I-TOOL and/O Figma/B-TOOL for/O UX/B-SKILL Design/I-SKILL ./O
27,Proficient/O in/O Java/B-SKILL Programming/I-SKILL and/O Spring/B-SKILL Boot/I-SKILL ./O
28,Experienced/O with/O Network/B-SKILL Security/I-SKILL and/O Firewall/B-TOOL Configuration/I-TOOL ./O
29,Familiar/O with/O Google/B-TOOL Cloud/I-TOOL Platform/I-TOOL and/O Firebase/B-TOOL Services/I-TOOL ./O
30,Skilled/O in/O Unit/B-SKILL Testing/I-SKILL and/O Software/B-SKILL Development/I-SKILL ./O
31,Proficient/O in/O Jenkins/B-TOOL and/O Travis/B-TOOL CI/I-TOOL for/O Continuous/B-SKILL Integration/I-SKILL ./O
32,Experienced/O with/O Terraform/B-TOOL and/O Ansible/B-TOOL for/O Infrastructure/B-SKILL as/I-SKILL Code/I-SKILL ./O
33,Knowledgeable/O in/O MATLAB/B-TOOL and/O RStudio/B-TOOL for/O Statistical/B-SKILL Analysis/I-SKILL ./O
34,Skilled/O in/O Oracle/B-TOOL Database/I-TOOL Administration/I-TOOL and/O Redshift/B-TOOL Management/I-TOOL ./O
35,Proficient/O in/O Confluence/B-TOOL and/O Jira/B-TOOL for/O Project/B-SKILL Management/I-SKILL ./O
36,Experienced/O with/O Looker/B-TOOL and/O QlikView/B-TOOL for/O Data/B-SKILL Visualization/I-SKILL ./O
37,Familiar/O with/O NGINX/B-TOOL and/O Apache/B-TOOL HTTP/I-TOOL Server/I-TOOL Configuration/I-TOOL ./O
38,Skilled/O in/O Snowflake/B-TOOL and/O BigQuery/B-TOOL for/O Data/B-SKILL Analytics/I-SKILL ./O
39,Proficient/O in/O Flutter/B-SKILL and/O Dart/B-SKILL for/O Mobile/B-SKILL App/I-SKILL Development/I-SKILL ./O
40,Experienced/O with/O Kubernetes/B-SKILL Management/I-SKILL and/O Docker/B-TOOL Containers/I-TOOL ./O
41,Knowledgeable/O in/O AWS/B-SKILL Cloud/I-SKILLFormation/I-SKILL and/O Microsoft/B-SKILL Azure/I-SKILL Services/I-SKILL ./O
42,Skilled/O in/O GitLab/B-TOOL and/O Bitbucket/B-TOOL for/O Version/B-SKILL Control/I-SKILL ./O
43,Proficient/O in/O IntelliJ/B-TOOL IDEA/I-TOOL and/O PyCharm/B-TOOL for/O Python/B-SKILL Development/I-SKILL ./O
44,Experienced/O with/O Apache/B-TOOL HTTP/I-TOOL Server/I-TOOL and/O NGINX/B-TOOL Configuration/I-TOOL ./O
45,Familiar/O with/O Swagger/B-TOOL and/O Postman/B-TOOL for/O API/B-SKILL Development/I-SKILL ./O
46,Skilled/O in/O Chef/B-TOOL and/O Puppet/B-TOOL for/O Configuration/B-SKILL Management/I-SKILL ./O
47,Proficient/O in/O Visual/B-TOOL Studio/I-TOOL Code/I-TOOL and/O Eclipse/B-TOOL IDE/I-TOOL ./O
48,Experienced/O with/O Slack/B-TOOL and/O Trello/B-TOOL for/O Team/B-SKILL Collaboration/I-SKILL ./O
49,Knowledgeable/O in/O ElasticSearch/B-TOOL and/O MongoDB/B-TOOL for/O Data/B-SKILL Indexing/I-SKILL ./O
50,Skilled/O in/O Apache/B-TOOL Kafka/I-TOOL and/O Redis/B-TOOL for/O Real-time/B-SKILL Data/I-SKILL Processing/I-SKILL ./O
51,Provided/O exceptional/O patient/B-SKILL care/I-SKILL during/O a/O critical/O emergency/O situation/O ./O
52,Utilized/O advanced/O radiology/B-SKILL procedures/I-SKILL to/O diagnose/O complex/O medical/O conditions/O ./O
53,Demonstrated/O expertise/O in/O wound/B-SKILL care/I-SKILL and/O infection/B-SKILL control/I-SKILL techniques/O ./O
54,Managed/O electronic/B-SKILL health/I-SKILL records/I-SKILL efficiently/O for/O a/O large/O healthcare/O facility/O ./O
55,Implemented/O telemedicine/B-SKILL platforms/I-SKILL to/O improve/O access/O to/O specialized/O healthcare/O services/O ./O
56,Conducted/O detailed/O laboratory/B-SKILL testing/I-SKILL to/O support/O clinical/O research/O findings/O ./O
57,Collaborated/O with/O oncology/B-SKILL specialists/I-SKILL to/O develop/O personalized/O cancer/O treatment/O plans/O ./O
58,Assisted/O in/O surgical/B-SKILL procedures/I-SKILL by/O adhering/O to/O strict/O operating/O room/O protocols/O ./O
59,Provided/O comprehensive/O mental/B-SKILL health/I-SKILL counseling/I-SKILL for/O patients/O in/O need/O of/O support/O ./O
60,Ensured/O patient/B-SKILL safety/I-SKILL by/O monitoring/O vital/B-SKILL signs/I-SKILL and/O responding/O promptly/O to/O changes/O ./O
61,Facilitated/O obstetrics/B-SKILL and/O gynecology/B-SKILL examinations/I-SKILL by/O preparing/O patients/O for/O procedures/O ./O
62,Administered/O IV/B-SKILL therapy/I-SKILL with/O precision/O and/O adherence/O to/O medication/O administration/I-SKILL guidelines/O ./O
63,Conducted/O rehabilitation/B-SKILL techniques/I-SKILL to/O improve/O patient/O mobility/O and/O quality/O of/O life/O ./O
64,Educated/O patients/O on/O proper/O nutrition/B-SKILL and/O diet/O plans/O to/O manage/O chronic/O diseases/O effectively/O ./O
65,Managed/O a/O pediatric/B-SKILL care/I-SKILL unit/O by/O overseeing/O nursing/B-SKILL procedures/I-SKILL and/O treatment/O protocols/O ./O
66,Implemented/O healthcare/B-SKILL data/I-SKILL analysis/I-SKILL tools/O to/O evaluate/O trends/O and/O improve/O patient/O outcomes/O ./O
67,Conducted/O comprehensive/O psychiatric/B-SKILL assessments/I-SKILL to/O develop/O personalized/O treatment/O plans/O for/O patients/O ./O
68,Collaborated/O with/O physical/B-SKILL therapists/I-SKILL to/O design/O tailored/O rehabilitation/O programs/O for/O patients/O ./O
69,Utilized/O advanced/O surgical/B-SKILL techniques/I-SKILL to/O assist/O in/O complex/O medical/O procedures/O ./O
70,Monitored/O and/O maintained/O healthcare/B-SKILL equipment/I-SKILL such/O as/O MRI/B-SKILL scanners/I-SKILL and/O defibrillators/O ./O
71,Provided/O expert/O care/O in/O geriatric/B-SKILL medicine/I-SKILL by/O addressing/O complex/O health/O issues/O in/O elderly/O patients/O ./O
72,Managed/O electronic/B-SKILL health/I-SKILL records/I-SKILL and/O ensured/O HIPAA/B-SKILL compliance/I-SKILL for/O patient/O data/O security/O ./O
73,Participated/O in/O clinical/B-SKILL research/I-SKILL studies/O to/O contribute/O valuable/O insights/O to/O the/O healthcare/O community/O ./O
74,Administered/O chemotherapy/O and/O oncology/B-SKILL treatments/I-SKILL with/O compassion/O and/O attention/O to/O patient/O well-being/O ./O
75,Conducted/O thorough/O diagnostic/B-SKILL imaging/I-SKILL tests/O to/O aid/O in/O the/O proper/O diagnosis/O of/O medical/O conditions/O ./O
76,Utilized/O advanced/O pharmacology/B-SKILL knowledge/I-SKILL to/O recommend/O appropriate/O medications/O for/O patient/O treatment/O ./O
77,Provided/O quality/O health/B-SKILL education/I-SKILL to/O patients/O on/O chronic/O disease/O management/I-SKILL and/O prevention/O strategies/O ./O
78,Collaborated/O with/O interdisciplinary/O teams/O to/O implement/O evidence-based/O practice/O in/O healthcare/O delivery/O systems/O ./O
79,Assisted/O in/O emergency/B-SKILL response/I-SKILL situations/O by/O providing/O immediate/O medical/O care/O and/O support/O ./O
80,Managed/O a/O telemedicine/B-SKILL program/I-SKILL to/O expand/O access/O to/O healthcare/O services/O in/O remote/O areas/O ./O
81,Ensured/O compliance/O with/O infection/B-SKILL control/I-SKILL protocols/O to/O maintain/O a/O safe/O healthcare/O environment/O ./O
82,Conducted/O intensive/O physical/B-SKILL therapy/I-SKILL sessions/O to/O aid/O in/O patient/O recovery/O and/O rehabilitation/O ./O
83,Collaborated/O with/O healthcare/B-SKILL management/I-SKILL to/O develop/O and/O implement/O patient/O safety/I-SKILL initiatives/O ./O
84,Administered/O medications/O and/O monitored/O patients/O during/O clinical/B-SKILL trials/I-SKILL to/O assess/O treatment/O efficacy/O ./O
85,Provided/O expert/O nursing/B-SKILL care/I-SKILL in/O a/O busy/O surgical/B-SKILL unit/I-SKILL with/O a/O focus/O on/O patient/O outcomes/O ./O
86,Managed/O healthcare/B-SKILL data/I-SKILL analytics/I-SKILL tools/O to/O identify/O trends/O and/O improve/O operational/O efficiencies/O ./O
87,Conducted/O quality/O assurance/O checks/O on/O healthcare/B-SKILL equipment/I-SKILL to/O ensure/O accurate/O diagnostic/O results/O ./O
88,Educated/O patients/O on/O the/O importance/O of/O chronic/O disease/O management/I-SKILL and/O regular/O health/O screenings/O ./O
89,Collaborated/O with/O healthcare/B-SKILL policy/I-SKILL experts/O to/O develop/O and/O implement/O strategies/O for/O improved/O patient/O care/O ./O
90,Coordinated/O infection/B-SKILL control/I-SKILL efforts/O across/O multiple/O departments/O to/O prevent/O healthcare/O associated/O infections/O ./O
91,Managed/O surgical/B-SKILL assistance/I-SKILL duties/O in/O a/O fast-paced/O operating/B-SKILL room/I-SKILL environment/O with/O precision/O ./O
92,Utilized/O healthcare/B-SKILL informatics/I-SKILL tools/O to/O analyze/O patient/O data/O and/O improve/O healthcare/O delivery/O systems/O ./O
93,Assisted/O in/O the/O development/O of/O new/O healthcare/B-SKILL policies/I-SKILL to/O enhance/O patient/O safety/O and/O care/O quality/O ./O
94,Conducted/O thorough/O epidemiological/B-SKILL studies/I-SKILL to/O track/O and/O prevent/O the/O spread/O of/O infectious/O diseases/O ./O
95,Collaborated/O with/O healthcare/B-SKILL professionals/I-SKILL to/O conduct/O clinical/B-SKILL trials/I-SKILL and/O research/O studies/O ./O
96,Administered/O public/B-SKILL health/I-SKILL promotion/I-SKILL campaigns/O to/O raise/O awareness/O about/O preventive/O healthcare/O measures/O ./O
97,Provided/O compassionate/O care/O for/O pediatric/B-SKILL patients/I-SKILL undergoing/O oncology/B-SKILL treatments/I-SKILL and/O procedures/O ./O
98,Assisted/O in/O obstetrics/B-SKILL and/O gynecology/B-SKILL procedures/I-SKILL by/O providing/O support/O to/O medical/O staff/O and/O patients/O ./O
99,Managed/O healthcare/B-SKILL data/I-SKILL security/O protocols/O to/O ensure/O patient/O confidentiality/O and/O data/O integrity/O ./O
100,Implemented/O advanced/O nursing/B-SKILL procedures/I-SKILL to/O provide/O optimal/O patient/O care/O and/O promote/O positive/O outcomes/O ./O
101,Proficient/O in/O Financial/B-SKILL Analysis/I-SKILL and/O Risk/B-SKILL Management/I-SKILL using/O Excel/B-TOOL ./O
102,Skilled/O in/O Equity/B-SKILL Trading/I-SKILL and/O Portfolio/B-SKILL Management/I-SKILL with/O Bloomberg/B-TOOL Terminal/I-TOOL ./O
103,Experienced/O in/O Fixed/B-SKILL Income/I-SKILL Analysis/I-SKILL and/O Derivatives/B-SKILL Pricing/I-SKILL utilizing/O MATLAB/B-TOOL ./O
104,Knowledgeable/O in/O Credit/B-SKILL Risk/I-SKILL Assessment/I-SKILL and/O Operational/B-SKILL Risk/I-SKILL Management/I-SKILL with/O SAS/B-TOOL Financial/I-TOOL Management/I-TOOL ./O
105,Familiar/O with/O Treasury/B-SKILL Operations/I-SKILL and/O Cash/B-SKILL Flow/I-SKILL Analysis/I-SKILL using/O Hyperion/B-TOOL Financial/I-TOOL Management/I-TOOL ./O
106,Proficiency/O in/O Investment/B-SKILL Banking/I-SKILL and/O Financial/B-SKILL Engineering/I-SKILL with/O Python/B-TOOL for/O Finance/I-TOOL ./O
107,Skilled/O in/O Audit/B-SKILL and/O Assurance/B-SKILL services/I-SKILL with/O QuickBooks/B-TOOL and/O Excel/B-TOOL ./O
108,Experienced/O in/O Regulatory/B-SKILL Compliance/I-SKILL and/O Anti-Money/B-SKILL Laundering/I-SKILL utilizing/O Thomson/B-TOOL Reuters/I-TOOL Eikon/I-TOOL ./O
109,Knowledge/O of/O Financial/B-SKILL Statement/I-SKILL Analysis/I-SKILL and/O Ratio/B-SKILL Analysis/I-SKILL using/O Tableau/B-TOOL and/O Excel/B-TOOL ./O
110,Proficient/O in/O Wealth/B-SKILL Management/I-SKILL and/O Estate/B-SKILL Planning/I-SKILL with/O SAP/B-TOOL ERP/I-TOOL ./O
111,Experienced/O in/O IFRS/B-SKILL Standards/I-SKILL and/O GAAP/B-SKILL Accounting/I-SKILL using/O Moodyâ€™s/B-TOOL Analytics/I-TOOL ./O
112,Familiar/O with/O Budget/B-SKILL Forecasting/I-SKILL and/O Financial/B-SKILL Reporting/I-SKILL with/O Power/B-TOOL BI/I-TOOL ./O
113,Proficiency/O in/O Capital/B-SKILL Structure/I-SKILL Optimization/I-SKILL and/O Market/B-SKILL Risk/I-SKILL Assessment/I-SKILL using/O FactSet/B-TOOL ./O
114,Skilled/O in/O Tax/B-SKILL Planning/I-SKILL and/O Audit/B-SKILL services/I-SKILL with/O BlackRock/B-TOOL Aladdin/I-TOOL ./O
115,Experienced/O in/O Mergers/B-SKILL and/O Acquisitions/B-SKILL Analysis/I-SKILL utilizing/O Morningstar/B-TOOL Direct/I-TOOL ./O
116,Knowledge/O of/O Derivatives/B-SKILL Trading/I-SKILL and/O Hedging/B-SKILL Strategies/I-SKILL with/O IBM/B-TOOL Cognos/I-TOOL Analytics/I-TOOL ./O
117,Proficient/O in/O Corporate/B-SKILL Finance/I-SKILL and/O Portfolio/B-SKILL Optimization/I-SKILL using/O MarketAxess/B-TOOL ./O
118,Skilled/O in/O Time/B-SKILL Series/I-SKILL Analysis/I-SKILL and/O Quantitative/B-SKILL Finance/I-SKILL with/O Tradeweb/B-TOOL ./O
119,Experienced/O in/O Venture/B-SKILL Capital/I-SKILL Analysis/I-SKILL and/O Financial/B-SKILL Modeling/I-SKILL in/O Excel/B-TOOL ./O
120,Familiar/O with/O Leveraged/B-SKILL Buyouts/I-SKILL and/O Portfolio/B-SKILL Management/I-SKILL using/O Charles/B-TOOL River/I-TOOL IMS/I-TOOL ./O
121,Proficiency/O in/O Treasury/B-SKILL Management/I-SKILL and/O Financial/B-SKILL Planning/I-SKILL with/O Anaplan/B-TOOL ./O
122,Skilled/O in/O Foreign/B-SKILL Exchange/I-SKILL Trading/I-SKILL and/O Budget/B-SKILL Forecasting/I-SKILL using/O QlikView/B-TOOL ./O
123,Knowledgeable/O in/O Cost/B-SKILL Accounting/I-SKILL and/O Cash/B-SKILL Flow/I-SKILL Analysis/I-SKILL with/O MetaTrader/B-TOOL 5/I-TOOL ./O
124,Familiar/O with/O Private/B-SKILL Equity/I-SKILL Analysis/I-SKILL and/O Forecasting/B-SKILL using/O Crystal/B-TOOL Reports/I-TOOL ./O
125,Experienced/O in/O Regulatory/B-SKILL Compliance/I-SKILL and/O Market/B-SKILL Research/I-SKILL with/O FIS/B-TOOL Global/I-TOOL ./O
126,Knowledge/O of/O Asset/B-SKILL Allocation/I-SKILL and/O Wealth/B-SKILL Management/I-SKILL using/O RiskMetrics/B-TOOL ./O
127,Proficient/O in/O Retirement/B-SKILL Planning/I-SKILL and/O Tax/B-SKILL Advisory/I-SKILL with/O Interactive/B-TOOL Brokers/I-TOOL TWS/I-TOOL ./O
128,Skilled/O in/O Hedge/B-SKILL Fund/I-SKILL Strategies/I-SKILL and/O Financial/B-SKILL Modeling/I-SKILL with/O Algo/B-TOOL Trading/I-TOOL Platforms/I-TOOL ./O
129,Experienced/O in/O Working/B-SKILL Capital/I-SKILL Management/I-SKILL and/O Capital/B-SKILL Budgeting/I-SKILL using/O Value-at-Risk/B-TOOL Models/I-TOOL ./O
130,Familiar/O with/O Derivatives/B-SKILL Pricing/I-SKILL and/O Monte/B-SKILL Carlo/I-SKILL Simulation/I-SKILL Tools/I-SKILL with/O QlikView/B-TOOL ./O
131,Proficiency/O in/O Portfolio/B-SKILL Management/I-SKILL and/O Financial/B-SKILL Engineering/I-SKILL with/O IBM/B-TOOL Cognos/I-TOOL Analytics/I-TOOL ./O
132,Skilled/O in/O Financial/B-SKILL Analysis/I-SKILL and/O Regulatory/B-SKILL Reporting/I-SKILL with/O Moodyâ€™s/B-TOOL Analytics/I-TOOL ./O
133,Knowledge/O of/O Quantitative/B-SKILL Finance/I-SKILL and/O Financial/B-SKILL Planning/I-SKILL using/O Stata/B-TOOL ./O
134,Familiar/O with/O Credit/B-SKILL Analysis/I-SKILL and/O Market/B-SKILL Risk/I-SKILL Assessment/I-SKILL with/O RiskMetrics/B-TOOL ./O
135,Experienced/O in/O Budget/B-SKILL Forecasting/I-SKILL and/O Financial/B-SKILL Engineering/I-SKILL with/O Thomson/B-TOOL Reuters/I-TOOL Eikon/I-TOOL ./O
136,Knowledgeable/O in/O Estate/B-SKILL Planning/I-SKILL and/O Financial/B-SKILL Modeling/I-SKILL using/O FactSet/B-TOOL ./O
137,Proficient/O in/O Tax/B-SKILL Planning/I-SKILL and/O Audit/B-SKILL services/I-SKILL with/O BlackRock/B-TOOL Aladdin/I-TOOL ./O
138,Skilled/O in/O Mergers/B-SKILL and/O Acquisitions/B-SKILL Analysis/I-SKILL with/O QuickBooks/B-TOOL and/O Excel/B-TOOL ./O
139,Experienced/O in/O Regulatory/B-SKILL Compliance/I-SKILL and/O Anti-Money/B-SKILL Laundering/I-SKILL utilizing/O Thomson/B-TOOL Reuters/I-TOOL Eikon/I-TOOL ./O
140,Knowledge/O of/O Financial/B-SKILL Statement/I-SKILL Analysis/I-SKILL and/O Ratio/B-SKILL Analysis/I-SKILL using/O Tableau/B-TOOL and/O Excel/B-TOOL ./O
141,Familiar/O with/O Wealth/B-SKILL Management/I-SKILL and/O Estate/B-SKILL Planning/I-SKILL with/O SAP/B-TOOL ERP/I-TOOL ./O
142,Proficiency/O in/O IFRS/B-SKILL Standards/I-SKILL and/O GAAP/B-SKILL Accounting/I-SKILL using/O Moodyâ€™s/B-TOOL Analytics/I-TOOL ./O
143,Skilled/O in/O Budget/B-SKILL Forecasting/I-SKILL and/O Financial/B-SKILL Reporting/I-SKILL with/O Power/B-TOOL BI/I-TOOL ./O
144,Experienced/O in/O Capital/B-SKILL Structure/I-SKILL Optimization/I-SKILL and/O Market/B-SKILL Risk/I-SKILL Assessment/I-SKILL using/O FactSet/B-TOOL ./O
145,Knowledgeable/O in/O Tax/B-SKILL Planning/I-SKILL and/O Audit/B-SKILL services/I-SKILL with/O BlackRock/B-TOOL Aladdin/I-TOOL ./O
146,Familiar/O with/O Mergers/B-SKILL and/O Acquisitions/B-SKILL Analysis/I-SKILL utilizing/O Morningstar/B-TOOL Direct/I-TOOL ./O
147,Experienced/O in/O Derivatives/B-SKILL Trading/I-SKILL and/O Hedging/B-SKILL Strategies/I-SKILL with/O IBM/B-TOOL Cognos/I-TOOL Analytics/I-TOOL ./O
148,Knowledge/O of/O Corporate/B-SKILL Finance/I-SKILL and/O Portfolio/B-SKILL Optimization/I-SKILL using/O MarketAxess/B-TOOL ./O
149,Proficient/O in/O Time/B-SKILL Series/I-SKILL Analysis/I-SKILL and/O Quantitative/B-SKILL Finance/I-SKILL with/O Tradeweb/B-TOOL ./O
150,Skilled/O in/O Venture/B-SKILL Capital/I-SKILL Analysis/I-SKILL and/O Financial/B-SKILL Modeling/I-SKILL in/O Excel/B-TOOL ./O
151,Skilled/B-SKILL in/O patient/B-SKILL care/I-SKILL and/O wound/B-SKILL care/I-SKILL with/O 5/B-EXP years/I-EXP experience/I-EXP ./O
152,Proficient/B-SKILL in/O medical/B-SKILL terminology/I-SKILL and/O anatomy/B-SKILL with/O knowledge/O of/O pharmacology/B-SKILL ./O
153,Experienced/O in/O nursing/B-SKILL procedures/I-SKILL and/O vital/B-SKILL signs/I-SKILL monitoring/I-SKILL for/O over/O 3/B-EXP years/I-EXP ./O
154,Specialized/O in/O oncology/B-SKILL nursing/I-SKILL with/O expertise/O in/O pediatric/B-SKILL care/I-SKILL ./O
155,Skilled/B-SKILL in/O mental/B-SKILL health/I-SKILL counseling/I-SKILL and/O psychiatric/B-SKILL nursing/I-SKILL ./O
156,Proficient/B-SKILL in/O physical/B-SKILL therapy/I-SKILL and/O rehabilitation/B-SKILL techniques/I-SKILL for/O post/O-surgical/O patients/O ./O
157,Experienced/O in/O radiology/B-SKILL procedures/I-SKILL and/O diagnostic/B-SKILL imaging/I-SKILL with/O 4/B-EXP years/I-EXP experience/I-EXP ./O
158,Knowledgeable/O in/O healthcare/B-SKILL data/I-SKILL analysis/I-SKILL and/O electronic/B-SKILL health/I-SKILL records/I-SKILL management/I-SKILL ./O
159,Skilled/B-SKILL in/O pharmacology/B-SKILL and/O medication/B-SKILL administration/I-SKILL with/O expertise/O in/O IV/B-SKILL therapy/I-SKILL ./O
160,Proficient/B-SKILL in/O public/B-SKILL health/I-SKILL promotion/I-SKILL and/O nutrition/B-SKILL counseling/I-SKILL for/O chronic/B-SKILL disease/I-SKILL management/I-SKILL ./O
161,Specialized/O in/O obstetrics/B-SKILL and/O gynecology/B-SKILL with/O 6/B-EXP years/I-EXP of/O experience/I-EXP ./O
162,Experienced/O in/O geriatric/B-SKILL care/I-SKILL and/O diabetic/B-SKILL care/I-SKILL for/O over/O 5/B-EXP years/I-EXP ./O
163,Skilled/B-SKILL in/O healthcare/B-SKILL policy/I-SKILL and/O medical/B-SKILL ethics/I-SKILL with/O a/O focus/O on/O patient/B-SKILL safety/I-SKILL ./O
164,Proficient/B-SKILL in/O surgical/B-SKILL assistance/I-SKILL and/O operating/B-SKILL room/I-SKILL protocols/I-SKILL for/O advanced/B-SKILL cardiac/I-SKILL life/I-SKILL support/I-SKILL procedures/I-SKILL ./O
165,Knowledgeable/O in/O telemedicine/B-SKILL and/O health/B-SKILL informatics/I-SKILL with/O expertise/O in/O quality/B-SKILL improvement/I-SKILL ./O
166,Experienced/O in/O laboratory/B-SKILL testing/I-SKILL and/O blood/B-SKILL collection/I-SKILL with/O a/O strong/O background/O in/O epidemiology/B-SKILL ./O
167,Skilled/B-SKILL in/O speech/B-SKILL therapy/I-SKILL and/O rehabilitation/B-SKILL techniques/I-SKILL for/O post/O-stroke/O patients/O ./O
168,Proficient/B-SKILL in/O mental/B-SKILL health/I-SKILL counseling/I-SKILL and/O psychiatric/B-SKILL nursing/I-SKILL with/O a/O focus/O on/O rehabilitation/B-SKILL therapy/I-SKILL ./O
169,Specialized/O in/O radiology/B-SKILL procedures/I-SKILL and/O diagnostic/B-SKILL imaging/I-SKILL with/O a/O strong/O background/O in/O pathology/B-SKILL ./O
170,Experienced/O in/O healthcare/B-SKILL data/I-SKILL analysis/I-SKILL and/O electronic/B-SKILL health/I-SKILL records/I-SKILL management/I-SKILL for/O over/O 4/B-EXP years/I-EXP ./O
171,Knowledgeable/O in/O pharmacology/B-SKILL and/O medication/B-SKILL administration/I-SKILL with/O expertise/O in/O IV/B-SKILL therapy/I-SKILL ./O
172,Skilled/B-SKILL in/O public/B-SKILL health/I-SKILL promotion/I-SKILL and/O nutrition/B-SKILL counseling/I-SKILL for/O chronic/B-SKILL disease/I-SKILL management/I-SKILL ./O
173,Proficient/B-SKILL in/O obstetrics/B-SKILL and/O gynecology/B-SKILL with/O 4/B-EXP years/I-EXP of/O experience/I-EXP ./O
174,Specialized/O in/O geriatric/B-SKILL care/I-SKILL and/O diabetic/B-SKILL care/I-SKILL with/O a/O focus/O on/O oncology/B-SKILL nursing/I-SKILL ./O
175,Experienced/O in/O healthcare/B-SKILL policy/I-SKILL and/O medical/B-SKILL ethics/I-SKILL with/O a/O focus/O on/O patient/B-SKILL safety/I-SKILL ./O
176,Skilled/B-SKILL in/O surgical/B-SKILL assistance/I-SKILL and/O operating/B-SKILL room/I-SKILL protocols/I-SKILL for/O advanced/B-SKILL cardiac/I-SKILL life/I-SKILL support/I-SKILL procedures/I-SKILL ./O
177,Proficient/B-SKILL in/O telemedicine/B-SKILL and/O health/B-SKILL informatics/I-SKILL with/O expertise/O in/O quality/B-SKILL improvement/I-SKILL ./O
178,Knowledgeable/O in/O laboratory/B-SKILL testing/I-SKILL and/O blood/B-SKILL collection/I-SKILL with/O a/O strong/O background/O in/O epidemiology/B-SKILL ./O
179,Specialized/O in/O speech/B-SKILL therapy/I-SKILL and/O rehabilitation/B-SKILL techniques/I-SKILL for/O post/O-stroke/O patients/O ./O
180,Experienced/O in/O mental/B-SKILL health/I-SKILL counseling/I-SKILL and/O psychiatric/B-SKILL nursing/I-SKILL with/O a/O focus/O on/O rehabilitation/B-SKILL therapy/I-SKILL ./O
181,Skilled/B-SKILL in/O radiology/B-SKILL procedures/I-SKILL and/O diagnostic/B-SKILL imaging/I-SKILL with/O a/O strong/O background/O in/O pathology/B-SKILL ./O
182,Proficient/B-SKILL in/O healthcare/B-SKILL data/I-SKILL analysis/I-SKILL and/O electronic/B-SKILL health/I-SKILL records/I-SKILL management/I-SKILL for/O over/O 4/B-EXP years/I-EXP ./O
